cantonese,english,greedy,beam
點解佢哋淨係話我？佢哋搵我嚟祭旗咋嘛。,Why am I the only one they complain of? They're just making an example out of me and using me as a scapegoat.,"Қандай да, менің қазір мен қаңтар мен жастарды?",Қаншама қағидалар мен әңгімелер бар? – деп хабарлады.
隻雀仔好靚喎！,What a beautiful bird it is!,Бұл қазір қарап отыр!,Өтiмiкiзiгiнiшiпiлi!
你想同我傾啲咩呀？,What do you want to talk to me about?,Tu veux te coucher avec moi ?,Vous voulez être avec moi ?
佢好醒目，但係就唔係好幫到手。,"He may be clever, but he is not very helpful.",Бұл қағидалар мен қаһарманның қабығылармен не айтылады.,"Өтiмiнiкiздiң, әсiлiгiшiрiпiс кiiвiбi."
做咩事都要做到最好。,"In doing anything, you must do your best.",Kaiken kaikkiaan on tehtävä parasta.,Kaikkien asioiden tekeminen on parasta.
我仲係單身。,I'm still single.,Менің қазір мен салыстыр.,Je suis un ami seul.
佢尋日做咩唔嚟嘅？,What prevented her from coming yesterday?,Бұл қазір мен қаңтарда не айтылады?,ҚазАқпарат – ақынның қағидасы бар?
佢做咩好似好唔開心咁嘅？,Why is it that she looks so sad?,Бұл қазір мен қағидалар мен жарықтар?,Ауымда қанақтардан тұрады деп хабарлады?
你做咩唔同佢跳舞嘅？,Why didn't you dance with him?,Бұл қазір мен қағидалар мен тағдыры?,Қазіргі уақытта бас тағайындауға болады?
你做咩好似好唔開心噉嘅？,Why are you looking so sad?,Бұл қазір мен қағидалар мен жарықтармен не айтылады?,"Қандай-ақ, қанақтардан не күшiңi?"
你做咩喊呀？,Why are you crying?,Tu fais des cris ?,Tu fais des cris ?
你做咩粒聲唔出嘅？,How come you didn't say anything?,Бұл қазір не қанаққалы?,Қазіргі уақытта өңдеуге болады?
你做咩搵隻手嚟搣塊布，唔用較剪剪呀？,Why did you tear the cloth instead of cutting it with scissors?,"Бұл қазір, бұл қағидалар мен қаһарманға да бар?","Қазіргі уақытта өңдеуге қарастырып келдім, бірақ кетеді?"
點解？,Why?,Қазір қандай?,Қазіргі уақытта?
你點解咁講嘅？,Why do you say that?,Бұл қазір қандай?,Қазіргі уақытта айтқанда?
你點解唔信我呀？,Why didn't you believe me?,- Anh hiểu không tin em sao?,Tu comprends que tu ne crois pas ?
你今朝做咩遲到嘅？,Why were you late this morning?,- Sáng nay anh có làm gì không?,오늘 아침에 늦은 시간을 보내고 계신가요?
唔該你借把刀俾我吖。,Please lend me your knife.,Tu ne m'as pas apprécié de prendre le couteau.,Je n'ai pas envie de me prêter le couteau.
你用咩方法都好，結果都係一樣。,"However you do it, the result will be the same.","Vous utilisez la méthode de l'information, les résultats sont les mêmes.","Vous utilisez de bonnes méthodes, les résultats sont les mêmes."
係人都做到啦。,Anyone can do that.,Les agents ont fait.,Les agents l’ont fait.
咁簡單嘅嘢三歲細路都識啦。,The smallest child knows such a simple thing.,Бұл үшін бір жылдан 3 жылға дейін қарастырылған.,Қазіргі уақытта 3 жылдан тұрады.
今年興啲咩款嘅外套呀？,What sort of coats are in fashion this year?,Бұл жылдан тұрады?,올해는 셔츠를 입고 있나요?
無論個結果會係點，我都唔會改變我個計劃㗎喇。,"Whatever results may follow, I will carry out my plan.","Менің қазір менің қолылымызға қанаққалып, қаңтар мен қалыңдар мен мен жақын мен ұлқымға болады.","Қандай-ақ, бұл идеясы мен идеялар мен қағидалары мен мәселіне мен салыстырды жоқ."
你跑得幾快都追唔上佢㗎喇。,"No matter how fast you run, you won't catch up with him.","Қандай-ақ, бұл жастардың қағидалар мен жастағылар.",Қазіргі уақытта тынышiлiкiгiзiнiмдiпiңi.
佢出盡晒力都開唔到嗰道門。,"No matter how he tried, he could not open the door.",Қазір бұл қазірге қанаққалымыз.,Қаланың тұрақты тұрғындарының саны 1 адамды құрайды.
發生咩事都好，我點都唔會出賣我班朋友。,I will never sell my friend down the river for anything in the world.,"Бұл үшін, бізге бір-бірімен таныстырып, менің қазір мен қазыққа қанаға болады.","Tout va bien, je ne vais pas vendre mon ami."
唔該可唔可以幫我喺多倫多國際機場附近book間房呀？,Would you please reserve a room near the Toronto international Airport?,"Бұл үшін, бұл жерде де ұзақ уақытқа дейін ұсынады?","Қандай-ақ, қаңтарда бір-бірінен айналысатын айналды?"
隨便攞件蛋糕啦。,Take whatever cake you want.,Бұл кейде келді.,いつでもケーキを食べる。
阿Tom好後悔自己虛度咗咁多光陰。,Tom regretted having wasted a great deal of his life.,Бұл қағидалар мен қаһарманның қабырғасы бар.,Қаланың тұрақты тұрғындарының саны 1 адамды құрайды.
阿Tom跑得好快。,Tom can run fast.,Атуға шығысқа шығар.,アトムは速く走る。
阿Tom打爛咗個窗。,Tom broke the window.,"Қазір қазір қарап, қаңтарға қара.",Қазіргі уақытта өңдеуге болады.
阿Tom打爛咗個窗。,Tom broke the window pane.,"Қазір қазір қарап, қаңтарға қара.",Қазіргі уақытта өңдеуге болады.
阿Tom本來諗住朝頭早早啲出發，點知瞓過咗龍。,"Tom expected to leave early in the morning, but he overslept.",Қаланың тұрақты тұрғындарының саны 1 адамды құрайды (оқымды) құрамды.,Қаланың тұрақты тұрғындарының саны 1 адамды құрайды.
阿Tom好似舊石頭咁，一啲都唔識游水。,Tom can swim no more than a stone can.,"Бұл қазір, бұл қағидалар мен қаһарманға да не айталады.","Өзiмдiкiгiшiпiнiлiрiсiтiңiз кiвiбi,ii."
阿Tom以前從來都唔食煙㗎，不過而家開始食咯。,"Tom never used to smoke, but he does now.","Өзiңiмдiкiнiшiгiзддтiпiлiд, әсiрiттдeгтeндaтaнтлaд",Əvvəlki xəbərlər » Gələcək Günlər Yemek yeməyəcək
阿Tom係個學生。,Tom is a student.,Өзiң студенттерi.,Өткен балалардың студенттер.
阿Tom人好老實，我鍾意佢。,"As Tom is honest, I like him.",Бұл қағидалар мен қаһарманның қасиеттері.,"Өйткені, менің қағидалар мен өңдеу."
Tom仔好老實，唔識講大話。,Tom is too honest a boy to tell a lie.,Бұл қағидалар мен қаһарманның қасиетті не айтылады.,"Өтiмiлiкiзiнiпiшiгiңiдiсiрi, неiвiстiхi."
阿Tom游水好勁。,Tom is able to swim well.,Өзiмiнiң жарықiпiз.,Өткен керемет келдім.
阿Tom好鍾意整蠱我。,Tom enjoys playing tricks on me.,Менің қазір мен қасымда.,Қазіргі уақытта мен жақсартуға болады.
阿 Tom 返咗鄉下。,Tom went back to his hometown.,Қазір қайтарып келдім.,Қаланың тұрақты тұрғындарының саны.
湯姆係呢隊棒球隊嘅隊長。,Tom is the captain of this baseball team.,Басқаша команданың баспаналық командасы.,Қандай баспалық командасы бар.
阿Tom同佢老豆一樣咁高。,Tom is as tall as his father.,Бұл қазір мен қаңтарда қазанды.,Өйткені ол тағайындалды.
阿 Tom 一開電視就跳咗 fuse。,No sooner had Tom turned on the TV than the fuse blew.,Бұл телекоммуникациялар бағдарламасын шыққан.,Қазіргі уақытта телекоммуникацияға қарастырылған.
愛迪生發明咗電燈膽。,Thomas Edison invented the light bulb.,Бұл қазір қанақтарда жарыққа да бар.,Өтiмiзiкiгiшiлiпiнiрiсiңiдi.
個個男仔都有架單車。,Each boy has a bike.,En man har en enda bil.,En man har en enda bil.
你以前住邊間屋㗎？,Which house did you live in?,Қазір бұл жерде де бар?,Har du tidligere vært borte?
有啲咩病徵㗎？,What are the symptoms?,Il y a des signes de maladie ?,Apakah ada tanda-tanda penyakit yang dilaporkan?
Tony幾多歲呀？,How old is Tony?,Tony là bao nhiêu tuổi?,Hur gammal är Tony?
阿 Tony 打網球真係好勁呀！,What a good tennis player Tony is!,"Бұл қазір, ол тағайындалғанды!",Қаншалықты бас тағайындалды!
我攰到行唔郁喇。,I'm so tired that I can't walk any longer.,Менің қазір не жарық.,Қазіргі уақытта қазір не айтып.
我攰到行唔郁喇。,I'm too tired to walk any longer.,Менің қазір не жарық.,Қазіргі уақытта қазір не айтып.
雖然天氣好凍，但係個細路都無著到外套。,The child had no overcoat on although it was very cold.,"Бұл жастардың жастағы, жастырды, қазір жарымызды жасқа шыққан.","Несмотря на то, что погода очень холодная, у него не было ни одной полотенца."
你好似好開心咁喎。,You look very delighted.,Tu es très ouvert à ce sujet.,Du ser ut til å være veldig åpen.
你心情好似好靚咁喎。,You look very delighted.,Бұл қазір мен қағидалар мен жарыққа қауымда.,Tu es dans un bon état d’esprit.
個天突然間開始變黑。,The sky suddenly began to darken.,Le jour commence soudain à devenir noir.,Le jour commence soudain à devenir noir.
邊本書係你㗎？,Which book is yours?,Бұл тек тек қанақтар?,Өзiмiкiң биiлiпiшiгiздi?
任你揀。,You may choose whichever you like.,Қазір сізге қолыңыз.,Қазіргі уақытта.
我應該由邊個開始咧？,Which shall I begin with?,Faut-il commencer par un côté ?,Faut-il que je commence par le côté ?
話時話，你今晚得唔得閒呀？,"By the way, are you free tonight?","- Thưa ông, đêm nay ông không phải là thằng nhóc sao?","Đêm nay, anh không thể nói chuyện được sao?"
係啦，你住喺邊度呀？,"By the way, where do you live?","Ауыз, бұл қабырға айналады?","Өйткені, ты бір-бірінен қайтарып кетеді?"
吖，係啦，可唔可以俾你個地址我呀？,"By the way, what is your address?","- Thưa ông, có thể không biết địa chỉ của ông không?","- Chị ơi, em có thể nhận được địa chỉ của anh không?"
係喇，我有啲嘢要話你知。,"By the way, I have something to tell you.","Алайда, менің қазір мен қасиетті.","Қандай, менің қағидалар мен идеялармен айтады."
話時話，我有啲嘢要同你講。,"By the way, I have something to tell you.","Je vous parle, je vais certainement vous parler.","Au moment de parler, je vais certainement vous parler."
我去到邊都帶住部相機。,I take my camera wherever I go.,Менің қосылатын келдім.,Содан соң облыстық фотоаппаратқа келдім.
無論喺咩地方，過馬路之前都應該望清楚左右先。,It's a good rule to look both ways before you cross the street anywhere.,Əvvəlki xəbərlər » Gələcək Günlər,Қаланың тұрақты тұрғындарының саны 1 адамды құрайды (2008).
你可唔可以話我知我錯喺邊呀？,Will you tell me where I am wrong?,Kan du inte säga att jag vet att det är fel?,Tu ne peux pas me dire que je sais que j'ai tort ?
我好似喺邊到見過你。,I remember meeting you somewhere.,Je me sens comme si je t'avais vu.,J’ai l’impression d’être venu te voir.
有咩唔同呀？,What's the difference?,Ауыз не қабығы?,Est-ce qu’il n’y a pas avec ?
我驚聽日會落雨。,I'm afraid it will rain tomorrow.,Өзiмiнiң жасайды жастарды.,Jag är förvånad över att dagen kommer att regna.
我好似發燒呀。,I seem to have a fever.,Jag ser ut som att bränna.,Jag ser ut som att bränna.
可唔可以舉幾個例子呀？,Please give us some examples.,Mais on peut donner quelques exemples ?,On peut donner quelques exemples ?
小心揸車呀。,Please drive carefully.,Cẩn thận với xe,Var försiktig med bil.
隨便食吖。,Please help yourself.,Өзiңiмiкiнiз,Ăn bất cứ điều gì
隨便坐啦，當自己屋企得喇。,Please make yourself comfortable.,"Қазір, бізге қазірге, қағидалар мен қасымда.",Қазіргі уақытта қайтарып келдім.
你點識佢㗎？,How did you get to know him?,Vous le connaissez bien ?,Vous le connaissez bien ?
佢做咩無嚟到嘅？,What prevented him from coming?,Бұл қазір неге қарап отыр?,Қазіргі уақытта бір-бірілген қағидалар бар?
佢做咩失驚無神問埋啲咁認真嘅問題嘅？,Why all of a sudden did he ask me such a serious question?,Бұл қағидалар мен қаһарманның қаңтарда жарыққа жатады.,Қазіргі уақытта өнерінің бір-бірімен ұсынады.
你做咩唔出聲呀？,How come you say nothing?,Tu fais des choses sans parler ?,Tu ne fais pas de voix ?
你點知㗎？,How did you come to know it?,Tu connais bien ?,Tu connais un peu ?
唔知點解我硬係無心機做嘢。,For some reason or other I cannot bring myself to work.,Менің қазір мен қағидалар мен бизнесмен.,Не күлеріңді білмейсің бірең.
食煙唔該去出面食吖。,"If you are going to smoke, please go outside.",Asap tidak harus keluar dari makanan.,Tupakointia ei pidä syödä.
你做咩油咗張長凳做紅色嘅？,Why did you paint the bench red?,Бұл қазір мен қаңтар мен жарықтармен келдім?,Қандай кешiнiкiзiрiмдiпiгiтiң бiлiш?
你做咩咁夜先嚟探我哋呀？,How come you call on us so late at night?,"Өзiмiнiң көшiрiш, әсiздiкiгiпiлiддтiттei?",Chẳng lẽ đêm hôm sau anh có thể tìm thấy em không?
唔該你打電話話個結果俾我聽吖。,Please let me know the result by telephone.,"Қандай телефонға айтылады, бұл қазір мен қазыққа айтып.",Không nên gọi điện thoại một kết quả có lẽ tôi nghe.
可唔可以幫我攞張紙嚟呀？,"Bring me a sheet of paper, please.","Қандай да, бұл газетке не айтасыз?",Kan du inte hjälpa mig med papper?
請你寫低你嘅真實經驗。,Please write about your real experience.,Бұл да салықты да дауысы бар.,Xin vui lòng viết kinh nghiệm thực sự của bạn.
廁所喺邊呀？,Where is the toilet?,Phòng tắm gần đây?,화장실 옆에 있나요?
洗手間喺邊？,Where is the toilet?,Қайтаққа қанақ?,洗濯機は近い?
廁所喺邊？,Where is the toilet?,Phòng vệ sinh gần?,화장실 옆에 있나요?
廁所喺邊？,Where's the toilet?,Phòng vệ sinh gần?,화장실 옆에 있나요?
冇晒廁紙喇。,There's no toilet paper.,"Бұл қазір қарап, қаңтарда қарапайым.",Қазіргі уақытта қарастырылған.
我諗唔起「多謝」用德文點講。,"I can't remember how to say ""Thank you"" in German.",Ich werde sicherlich nicht „danke“ in deutscher Sprache sprechen.,Je ne vais pas dire « merci » en allemand.
德國喺荷蘭隔籬。,Germany adjoins the Netherlands.,Tyskland er i ferd med å isolere Nederland.,Německo se odděluje od Holandska.
我俾咗張飛個看門員睇，跟住就走咗入間戲院度。,I showed my ticket to the doorman and went into the theatre.,Менің қазір мен қаңтар мен жастарды қазанды.,"Қандай-ақ, қаңтар мен қазір мен әңгімелер мен өнерімен айтылады."
我開門嗰陣將個門柄擰甩咗。,"I tried to open the door, and the doorknob came off.",Менің қазір мен қаңтар мен жастарды қазанды.,Қазіргі таңда бүкіл әлемде өте көп айтылады.
求吓你開門俾我入嚟啦。,"Open the door and let me in, please.",Менің қазір мен қасым менің шығарды.,"Қандай-ақ, қазір мен қазынан қайтарып кетеді."
唔該你打開道門吖。,Please open the door.,Қазір бір-бірінен не күшкен.,Vous n’avez pas ouvert la porte.
你可唔可以唔好開住道門呀？,Would you please not leave the door open?,Tu peux pas ouvrir la porte ?,Tu ne peux pas ouvrir la porte ?
我唔見咗條門匙，所以我入唔到間屋。,"I lost the door key, so I can't enter the house.",Менің қазір мен қаңтар менің жарыққа қадам.,"Қандай-ақ, қаңтар мен салыстыр мен ескертуға болады."
我睇埋電視先去做功課。,I'll do my homework after I watch television.,Менің телебасының қағидалар мен қаһарманға дейін.,İndi ilk dəfə televizyonu görmək istəyirəm.
可唔可以將部電視較細聲少少呀？,Could you please turn your television down?,Бұл телекоммуникациялар мен телекомуникациялық сезімдер?,Peut-on faire un peu moins de télévision ?
而家啲細路唔鍾意睇書㗎喇，真係多得啲電視機唔少。,"Thanks to television, boys and girls are apt to neglect reading books.","Бұл үшін, бізге де ұзынды, ол да бір-бірімен, ал да, бұл жерде де жарыққа да бар.",Қазіргі уақытта телекоммуникациялар желілер мен телекомуникациялық технологиялары мен электрондық пошталары бар.
你介唔介意我開電視呀？,Can I turn on the TV?,Менің телебаттарды қанаққалып отыр?,Vous ne voulez pas que j’ouvre la télé ?
唔好意思，我要走喇。,I am afraid I must be going now.,"Je ne veux pas, je vais aller.","Je ne veux pas, j’ai envie de partir."
我鍾意打網球。,I like playing tennis.,Мен бейнелеуге жарыққа жатады.,Je voulais jouer au net.
我盡量留肚食甜品。,I'm trying to save room for dessert.,Jag försöker så mycket som möjligt att äta dessert.,Snažím se co nejlépe zůstat na sladkosti.
我有機會會盡快見佢。,I'll meet him at the earliest opportunity possible.,J’ai la chance de la voir le plus vite possible.,Jag har chansen att se henne så fort som möjligt.
我將啲空閒時間冚辦爛攞晒嚟睇書。,I spend what time I can spare reading.,Mən bu kitabı görmək üçün bir neçə dəfə hazırlaşıram.,Mən bu kitabı görəcəyəm.
張枱上面嗰部計數機係我嘅。,The calculator on the table is mine.,Бұл қазір менің қағидалар мен қаһарманның қауымдастырылған.,Қазіргі уақытта қазақ тілінде айналды.
張枱上面有幾多本書呀？,How many books are there on the table?,Có bao nhiêu cuốn sách trên đây?,Hur många böcker finns det ovanför?
我搵唔到阿Tim喎。,I can't find Tim.,Менің қазір мен қасымда.,Je n’arrive certainement pas à l’Athim.
佢哋一個又一個噉企咗起身，行咗出去。,One after another they stood up and went out.,Bir dəfə də bir dəfə daha işləyir və işə çıxır.,"Bir-birinə görə də, bir-daha çox iş işləyir və işdən çıxır."
阿 Paul 啱啱打咗電話比我。,Paul telephoned just now.,Абақа мен телефон мен қазір мен басы.,Алдыңғы телефондық пойыздағы мен басқа.
大就可能大咗小小，不過呢個信封冇問題㗎喇。大得濟好過細得濟吖嘛。,It might be a bit big but this envelope will do just fine. It's better to be too big than too small.,Өзiмiздiң жарықiнiкiгiшiлiпiсiрiтiддттeгтaтдaзтoтсaдeтлaмт.,"Қандай-ақ, бұл маңызы бар, бірақ, бір-бірімен қанағаттанды бар."
俾我睇吓。,Let me see it.,Менің жасыққа жасайды.,Tôi thấy sợ hãi.
俾我睇吓你部錄影機。,Let me have a look at your video camera.,Менің киносы жарыққа жатады.,Қандай-ақ сенің киімдеп отырмын.
唔該攞兩支粉筆畀我。,Please bring me two pieces of chalk.,Je n'ai pas aimé deux poules.,Je n'ai pas aimé les deux poules.
我就快走喇。,I'm about to leave.,Менің қоңырау шағынды.,Je vais bientôt aller.
你應該食啲嘢先走。,You should eat something before you go.,Du måste äta kanske först.,Bạn nên ăn chắc chắn đi trước.
我冇飛。,I don't have a ticket.,Менің қолыңыз.,わたしは飛ぶ。
啲飛一個禮拜都唔使就賣晒喇。,The tickets sold out within a week.,Bu günə bir gün də satılmayıb.,Қаланың тұрақты тұрғындарының саны 1 адамды құрайды.
售票處喺邊呀？,Where can I buy tickets?,Билетке өтіріне қайтарып?,チケットの売り切れ?
邊度有得買飛呀？,Where can I buy tickets?,Có phải là bay để mua?,Est-ce qu’il faut acheter un vol ?
呢排啲天氣愈嚟愈涼爽喇。,It is getting cooler and cooler.,"Əsasə, hava daha çox qısağa düşüb.",Қаланың тұрақты тұрғындарының саны 1 адамды құрайды.
同人哋握手嗰陣，一定要有眼神接觸。,"When you shake hands with somebody, you must look him in the eye.","Қазір бұл қанақтар, қанықтақтың да дауысы бар.","Қандай-ақ, қалыңдар да салыстырды."
有人喺呢本書到搣咗兩頁落嚟。,Someone has torn two pages out of this book.,Bu kitabın iki sayfa qədər yazılmışdır.,Bu kitabın hər iki kitabı bir-birinə daxil olmuşdur.
兩公婆應該得閒去浸溫泉，過吓二人世界。,Sometimes it's good for a married couple to go to a hot spring together—just the two of them.,"Дәстүргінің өзара ескеуге, екі жерде өзекті.","Дәстүргішiң өңдеуге қарастырады, дiнiгiкiлiмдi."
我開會嗰陣咁啱得咁橋坐正喺佢隔籬。,It happened that I sat next to her at a meeting.,Қазір бұл жерде де ұзақ уақытқа дейін өтінеміз.,ҚазАқпарат – «Жеңір» деп ойлаймын.
你應該食少啲煙。,You should smoke less.,Vous devez manger moins de fumée.,Vous devriez manger moins de fumée.
我食煙有時純粹係因為手痕。,Sometimes I smoke just to give my hands something to do.,Je fume parfois en raison de la poignée.,Jeg røyker av og til på grunn av håndsår.
佢去咗名古屋公幹。,He's gone to Nagoya on business.,Бұл қазір қарап отыр.,Қаланың тұрақты тұрғындарының саны.
隻紙鷂𠽤咗喺棵樹度。,The kite got caught in the tree.,Бұл қағидалардан бір-бірімен қауымда.,Өнімдермен бір-бірі қарап отырған.
我舉高咗隻手嚟截的士。,I held up my hand to stop a taxi.,Менің қазір мен қасымда қазанды.,Өзiмiрiнiгiкiшiлiң бiздiпiсi.
如果你想俾啲貼士個的士司機，就俾多啲錢佢，跟住同佢講「唔使找」。,"If you want the taxi driver to have a tip, hand him too much money and say, ""Keep the change.""","Бұл жануарлардың бірліктің бір-бірімен, бірқатар бір рет жеңді, «Жеңізде» деп хабарлады.","Nếu bạn muốn có một tài xế taxi, chắc chắn bạn sẽ có nhiều tiền hơn với nó, theo nó nói ""không nên tìm""."
因為我哋架的士喺途中死咗火，所以我哋要行路去個火車站度。,"As our taxi broke down on the way, we had to walk to the station.","Менің қолылығы тазасы мен жазалары мен салыстырды, менің жазырығы мен соғысы бар.","Потому что у меня по дороге погиб пожар, я обязательно пойду на одну станцию поезда."
所以我咪叫你咪鬼搭車去囉。,That's why I told you not to go by car.,"Менің қолыңызға, менің қазір мен",俺は君を車で呼ぶんだよ。
所以我哋都係留喺屋企啦。,So we'd better stay home.,Менің қоңырау қанаққалымыз.,J’ai donc certainement tout le monde travaillé dans les entreprises.
係又點呀屌你老母？,So fuckin' what.,Өзiмiңiкiнiшiздiпiлiгiддтiтт?,"Өйткені, бұл маңызы бар маңында?"
所以我咪叫你唔好一個人去囉。,That's why I told you not to go by yourself.,Jag kallar dig inte ensam.,Så jag kallar dig inte ensam.
如果你有一部時光機⋯⋯,Imagine that you have a time machine.,Nếu bạn có một chiếc máy thời gian,Nếu bạn có một chiếc máy thời gian
喺泰國，湊仔湊女唔係阿爸嘅責任，而係由阿媽一個人搞掂晒嘅。,"In Thailand, bringing up the children isn't the father's responsibility; it's entirely up to the mother.","Бұл үшін, бұл жерде де ұзақ уақытқа дейін ұсынады.",Тақырыбы: «Жеңізде қауымдастыр» деп хабарлайды ҚазАқпарат.
我通常踩單車返學⋯⋯哎呀，講錯咗，應該係返工至啱。,I usually ride my bike to school. I mean to the office.,"Менің қазір менің тіпті, мен қаңтар мен мен өңдеуге, қазан мен ұзақтығы мен қараматын.","Қандай-ақ, біз бір-бірімен ескертуге, біреуге келдім."
雞蛋係一打一打咁買嘅。,We buy eggs by the dozen.,Бұл қазір мен қаңтарда бір-бірімен келді.,Өзiмiкiздiгiшiлiпiнiң кiсiрi.
佢講埋啲噉嘅嘢，實係痴咗線喇。,He must be crazy to say such a thing.,Бұл қағидалар мен қаһарманның қаңтарда дағдырылады.,ҚазАқпарат – қазiлiкiшiмiнiпiгiздi.
呢個只不過係個藉口。,That's just an excuse.,Бұл да салықты да дағдыры.,"Bu, yalnız bir bahane ilə bağlıdır."
做嘢咁搏命為乜啊？,What's the sense of working so hard?,Бұл қағидалар мен қаһарманға болады?,Қазіргі уақытта қайтарып келдім?
佢行咗咁遠路，啲腳力實好好喇。,He must be a good walker to have walked such a long distance.,"Өзiмiң қанақiпiнiкiздiгiшiлi, әсiрiтiддтт",Қаланың тұрақты тұрғындарының саны 1 адамды құрайды.
你行得咁快，我跟唔到呀。,I can't keep up with you if you walk so fast.,"Tu vas vite, je ne suis pas là.","Tu vas vite, je ne suis pas là."
唔使急，仲有大把時間。,There's no need to panic. There's plenty of time.,"Қандай, бұл уақытта өте көп айтылады.","Jangan tergesa-gesa, ada banyak waktu bersama."
唔好問埋啲咁戇居嘅問題嚟煩我啦。,Don't bother me with such foolish questions.,Менің қазір менің жарыққа жатады.,"Қандай-ақ, бұл проблемасы мен проблемалары бар."
冇可能係真嘅。,That can't be true.,Қазір бұл қазір ұрпақ.,ҚазАқпарат – ақылдық қағидалар.
佢實係嬲得好犀利喇，如果唔係佢唔會講埋啲噉嘅嘢㗎。,He must be very angry to say such a thing.,"Бұл қағидалар мен қаһарманның қабырғасы бар, бұл қағазды да не айталады.",Қазіргі уақытта қазақстандықтың өнерінің бір-бірімен қағидалардан тұрады.
話俾我聽點解你要噉做。,Give me a reason for doing such a thing.,Jag hör att du säkert ska göra det.,Jag hör att du säkert ska göra det.
唔好怪佢。,Don't blame it on her.,Pas de culpabilité à elle.,Pas de culpabilité à elle.
我可唔可以食少少呀？,May I eat a little of it?,Kan jag inte äta mindre?,Kan jag inte äta mindre?
絕對唔可能甘做。,It is impossible to do it.,Il ne peut pas vraiment le faire.,Il est absolument impossible de le faire.
我唔知要點做。,I don't know how I should do it.,Je ne sais pas faire un peu.,Je ne sais pas quoi faire.
我哋大家都好清楚呢件事一定係佢做嘅。,Everybody knows for sure that it was he who did it.,Бұл үшін бір-бірімен бір қағидалар мен қаһарманның бірқатар қағалы.,Je suis sûre que tout le monde sait ce qu'il doit faire.
唔係我哋做㗎。,It's not us who did it.,Je ne suis pas sûr de faire des affaires.,Je ne suis pas sûr de faire des affaires.
呢啲書唔係我嘅。,They aren't my books.,Менің қазір менің жарыққа қап.,Қандай-қатты мен қағидалар мен нәрсе.
你可以用肉眼睇星星，用望遠鏡嘅話，仲可以睇得清楚啲添。,"You can see the stars with your naked eye, and even better through a telescope.","Өзiңiздiкiнiмiгiшiлiпiрi,iiсiтiдттeiвiбiжiйi рiстiхiедeт,eнтлeмтaтзeлaззaллтсeгaдaaмaнa","Қандай-ақ, қаңтарда қанақтардан тұтынуға жұлдыз жасауға болады."
真係可惜！,What a shame!,Бұл қазір жалай!,Thật đáng tiếc!
呢個唔貴。,It isn't expensive.,Бұл не күлерің.,Қазіргі уақытта.
同以前比，已經進步咗好多。,It has greatly improved compared with what it was.,"Plus que avant, il y a beaucoup plus de progrès.","Plus que auparavant, il y a beaucoup de progrès."
嘩！咁抵？！,Wow! That's cheap!,Қайтаққа қанақ?,Қандай да? – деп ойлаймын.
我以為係好主意。,I thought that would be a great idea.,Mən bu fikirdən çox yaxşıdır.,J’ai une bonne idée.
冇用嘅。,That won't work.,Бұл қағидалар.,Қазіргі уақытта.
對我嚟講無咩分別。,It's the same to me.,Mənim üçün çox az fərqlə sözlər var.,مون کي خاص طور تي فرق نه ڪيو آهي.
呢個咩嚟㗎？,What is it?,Бұл қабығы?,Қазіргі таңда?
個責任應該由你嚟孭。,It is you that are to blame for it.,La responsabilité doit être assurée par vous.,La responsabilité doit être assurée par vous.
包唔包埋早餐㗎？,Does that include breakfast?,- Không ăn sáng thì chả chăng?,朝ごはんを埋めてはいかがでしょうか。
我俾一日時間你考慮。,I'll give you a day to think about it.,J’ai presque une heure de jour que vous envisagez.,Jag har nästan en timme du överväger.
決定咗我就會話俾你聽㗎喇。,I'll let you know when it has been decided.,"Әдеп, ол менің қазір мен қаңтар мен өңдеуге болады.",Қазіргі уақытта өнерімен таныстырып келдім.
睇吓！佢嚟咗喇！,There! She comes!,Бұл қазір қарап отыр! – деп айтылады.,"Өйткені, ол жасайды! – деп ойлаймын"
唔該你將個故事由頭到尾講晒俾我地聽。,Tell us the story from beginning to end.,"Mənim sözlərimi dinləyin, mən də bu sözləri dinləmə bilirəm.",تون نه ٿو ٻڌين ته منھنجي ڳالھ کي ٻڌو.
話俾我聽啦，我好想知呀。,Tell me about it. I'm all ears.,"Jag hörde det, jag vet väl.","J'ai bien entendu parler, je sais bien."
個阿伯坐擁巨額身家。,The old man possesses great wealth.,Өзiңiмiкiнiпiздiгiшiлiрi.,"Өйткені, қағидалар бір-бірімен құбырды."
架火車準時嚟到。,The train arrived on time.,Тұрайыны аяқталған.,Le train est arrivé à la mi-temps.
架火車行緊五十咪。,The train is traveling at the rate of 50 miles an hour.,Бұл аяқталған 50 мың теңге.,Қазіргі уақытта 50 мың теңге.
架火車每個鐘行緊五十咪。,The train is traveling at the rate of 50 miles an hour.,Бұл аяқтағы 50 мың теңгеге дейін.,Қазіргі уақытта аяқталған 50 мың теңге.
架火車每個鐘行緊五十英里。,The train is traveling at the rate of 50 miles an hour.,Бұл аяқтағы 50 км-ге дейін аяққа.,Le train parcourt 50 kilomètres par heure.
個遊樂場起咗十年先至起好。,It took ten years to build the amusement park.,Қазіргі таңда 10 жылдан кейін қазір.,Қазіргі уақытта 10 жылға дейін өңдеуге болады.
我用一個字就計好咗條數。,The solution of the problem took me five minutes.,Bir sözcüğün sayıları ilə çox sayılır.,Bir sözcüğün sayıları çox sayılır.
